Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),00:40,05:30,04h 50m,INR 700,41 Seats available,3.4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),01:10,06:00,04h 50m,INR 700,32 Seats available,3.4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Shri Ganesh Travels,A/C Seater / Sleeper (2+1),01:30,05:00,03h 30m,INR 450,38 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
R.S.Sodha Travels,A/C Seater / Sleeper (2+1),01:45,05:20,03h 35m,INR 660,35 Seats available,3.6,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
V k jain travels,NON A/C Seater/ Sleeper (2+1),08:45,13:50,05h 05m,INR 330,36 Seats available,3.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,11:00,15:30,04h 30m,INR 330,36 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,A/C Seater / Sleeper (2+1),14:00,18:00,04h 00m,INR 430,39 Seats available,"3.1
8",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,15:30,20:30,05h 00m,INR 350,42 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON A/C Sleeper (2+1),16:00,21:10,05h 10m,INR 700,30 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,22:55,05h 55m,INR 330,42 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
B R Travels,AC Sleeper (2+1),18:30,23:00,04h 30m,INR 600,24 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),19:00,23:36,04h 36m,INR 330,36 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,04h 50m,INR 330,41 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
FlixBus,A/C Sleeper (2+1),19:00,23:50,04h 50m,INR 149,21 Seats available,"5.0
7",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Tiger Travels,NON A/C Sleeper (2+1),20:00,01:30,05h 30m,INR 700,31 Seats available,4.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),00:45,03:45,03h 00m,INR 500,36 Seats available,3.3,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
M R Travels,A/C Seater / Sleeper (2+1),01:10,04:40,03h 30m,INR 500,40 Seats available,3.8,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,A/C Seater / Sleeper (2+1),01:25,05:55,04h 30m,INR 400,31 Seats available,3.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,NON AC Seater / Sleeper 2+1,01:36,06:12,04h 36m,INR 350,42 Seats available,3.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),01:45,05:30,03h 45m,INR 500,40 Seats available,3.3,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),01:55,06:30,04h 35m,INR 399,22 Seats available,3.4,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
PAL BUS(Patel Travels®),NON AC Seater / Sleeper 2+1,02:05,05:30,03h 25m,463,32 Seats available,3.7,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Pooja Yaduvanshi Travels,A/C Seater / Sleeper (2+1),02:35,06:00,03h 25m,INR 600,34 Seats available,4.4,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Raj travels,A/C Sleeper (2+1),02:45,06:30,03h 45m,INR 399,15 Seats available,4.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
METRO RAJLAXMI TRAVELS,A/C Sleeper (2+1),02:56,06:41,03h 45m,INR 500,25 Seats available,4.0,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Shri Ganesh Travels,A/C Seater / Sleeper (2+1),03:45,06:30,02h 45m,INR 450,38 Seats available,3.0,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Shri Ganesh Travels,A/C Seater / Sleeper (2+1),04:00,07:15,03h 15m,INR 400,38 Seats available,3.0,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Shrinath® Travel Agency Pvt. Ltd.,A/C Sleeper (2+1),07:37,11:19,03h 42m,611,16 Seats available,3.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
