Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1000,6 Seats available,"3.6
338",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 601,26 Seats available,"4.4
561",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,INR 601,27 Seats available,"4.4
449",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,683,21 Seats available,"4.4
324",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 500,47 Seats available,"4.5
162",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,09:10,10h 40m,INR 950,22 Seats available,"4.8
592",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),21:32,06:22,08h 50m,INR 899,18 Seats available,"4.7
701",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,10:30,12h 55m,757,26 Seats available,"4.4
998",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,INR 849,20 Seats available,"4.5
450",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,05:20,11h 10m,744,13 Seats available,"4.5
307",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,VE A/C Sleeper (2+1),20:25,07:15,10h 50m,776,20 Seats available,"4.7
100",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),18:30,05:25,10h 55m,INR 1352,13 Seats available,"4.5
272",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),21:00,07:05,10h 05m,INR 1257,10 Seats available,"4.4
303",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,INR 360,27 Seats available,"4.4
230",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06:30,11h 30m,INR 599,19 Seats available,"4.4
194",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,10:00,17h 00m,763,16 Seats available,"4.6
784",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),17:00,08:15,15h 15m,INR 808,11 Seats available,"4.3
468",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:55,09:35,13h 40m,INR 799,16 Seats available,"4.3
312",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdIntrCity SmartBus,AC Sleeper (2+1),15:50,08:10,16h 20m,INR 599,23 Seats available,"4.3
7",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),16:00,08:20,16h 20m,INR 808,21 Seats available,"4.2
415",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:30,06:30,17h 00m,INR 910,19 Seats available,"4.2
264",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,08:30,17h 00m,INR 760,30 Seats available,"4.2
225",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdDolphin Travel House (40),A/C Sleeper (2+1),20:45,14:00,17h 15m,INR 760,26 Seats available,"3.8
173",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Konkan Travels National,NON A/C Sleeper (2+1),19:25,09:45,14h 20m,INR 899,12 Seats available,"4.0
110",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Mascot Travels(M.Dev),A/C Sleeper (2+1),17:30,10:45,17h 15m,618,22 Seats available,"3.8
269",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Konkan Travels National,A/C Sleeper (2+1),18:00,10:55,16h 55m,INR 899,14 Seats available,"3.9
102",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
GANESH PRASAD TRAVELS,NON A/C Seater (2+2),20:00,09:55,13h 55m,INR 2500,49 Seats available,New,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
GANESH PRASAD TRAVELS,A/C Seater (2+2),21:00,10:55,13h 55m,INR 2500,49 Seats available,New,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Jolly Tours and Travels,VE A/C Sleeper (2+1),18:35,07:05,12h 30m,INR 800,22 Seats available,"4.0
204",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin travel house,A/C Sleeper (2+1),17:45,10:45,17h 00m,INR 760,30 Seats available,"3.4
169",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Kadamba Transport Corporation Limited (KTCL) - 116186,Volvo AC Seater 2+2,18:30,08:00,13h 30m,INR 800,25 Seats available,"3.8
199",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,VE A/C Sleeper (2+1),20:25,11:50,15h 25m,802,20 Seats available,"4.6
364",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,VE A/C Sleeper (2+1),19:40,10:45,15h 05m,744,27 Seats available,"4.5
600",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,09:05,14h 55m,744,13 Seats available,"4.4
803",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
IntrCity SmartBus,AC Sleeper (2+1),21:00,11:20,14h 20m,INR 1257,10 Seats available,"4.3
364",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels Goa,A/C Sleeper (2+1),14:00,05:15,15h 15m,INR 850,31 Seats available,"4.3
311",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:30,08:10,12h 40m,INR 899,14 Seats available,"4.3
287",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
IntrCity SmartBus,AC Sleeper (2+1),18:30,09:00,14h 30m,INR 1352,13 Seats available,"4.2
445",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,11:50,13h 50m,INR 800,24 Seats available,"4.2
344",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels Goa,A/C Sleeper (2+1),15:30,06:45,15h 15m,INR 750,23 Seats available,"4.2
285",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
GANESH PRASAD TRAVELS,NON A/C Seater (2+2),16:20,07:15,14h 55m,INR 2000,49 Seats available,New,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
GANESH PRASAD TRAVELS,A/C Seater (2+2),17:20,08:30,15h 10m,INR 2500,49 Seats available,New,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels Goa,A/C Sleeper (2+1),17:30,09:25,15h 55m,INR 750,28 Seats available,"4.1
305",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
"National Travels,Goa",NON A/C Sleeper (2+1),18:30,07:30,13h 00m,INR 625,19 Seats available,"4.0
224",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),20:40,09:30,12h 50m,INR 800,29 Seats available,"3.7
245",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,10:00,12h 45m,INR 735,34 Seats available,"3.2
108",https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
SR Tours & Travels,A/C Sleeper (2+1),19:45,05:30,09h 45m,1035,28 Seats available, ,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,10:15,13h 15m,INR 1199,16 Seats available,"4.7
512",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,10:15,12h 55m,INR 999,18 Seats available,"4.5
410",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
IntrCity SmartBus,AC Sleeper (2+1),20:30,10:40,14h 10m,INR 987,27 Seats available,"4.3
264",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sri Varalakshmi Travels,NON A/C Sleeper (1+2),21:45,10:40,12h 55m,INR 849,22 Seats available,"4.3
165",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Streamline tours and travels,A/C Sleeper (2+1),21:15,10:15,13h 00m,INR 1000,26 Seats available,"4.1
435",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Shanta Travels,NON A/C Sleeper (2+1),19:30,08:15,12h 45m,INR 810,20 Seats available,"4.1
326",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
VKV Travels,A/C Sleeper (2+1),22:55,10:00,11h 05m,1240,26 Seats available,"4.1
287",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Streamline tours and travels,A/C Sleeper (2+1),22:20,11:15,12h 55m,INR 1000,25 Seats available,"3.8
368",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,NON A/C Sleeper (2+1),20:30,10:00,13h 30m,INR 700,18 Seats available,"3.5
211",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,NON A/C Sleeper (2+1),18:00,07:00,13h 00m,INR 700,14 Seats available,"3.2
296",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Anand Travels,NON A/C Sleeper (2+1),19:00,07:00,12h 00m,INR 710,19 Seats available,"3.0
266",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sugama Tourist,NON A/C Sleeper (2+1),20:30,07:45,11h 15m,INR 950,14 Seats available,"3.5
71",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,A/C Sleeper (2+1),21:15,10:15,13h 00m,INR 900,21 Seats available,"2.8
98",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,A/C Sleeper (2+1),19:00,08:00,13h 00m,INR 900,22 Seats available,"2.8
80",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sugama Tourist,NON A/C Sleeper (2+1),20:30,08:45,12h 15m,INR 950,14 Seats available,"3.8
16",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,07:00,12h 00m,INR 735,30 Seats available,"3.4
119",https://www.redbus.in/bus-tickets/goa-to-pandharpur,Goa to Pandharpur
SR Tours & Travels,A/C Sleeper (2+1),18:00,04:00,10h 00m,1035,23 Seats available, ,https://www.redbus.in/bus-tickets/goa-to-pandharpur,Goa to Pandharpur
Shirdi Xpress,A/C Sleeper (2+1),08:15,11:30,03h 15m,INR 600,17 Seats available,"2.3
5",https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa
S R Travels,NON A/C Sleeper (2+1),01:00,06:00,05h 00m,INR 799,18 Seats available,"1.7
19",https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa
Kadamba Transport Corporation Limited (KTCL) - 5633,Volvo AC Seater 2+2,18:30,08:30,14h 00m,INR 1000,17 Seats available,"3.9
241",https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,07:15,13h 15m,INR 1599,16 Seats available,"4.6
578",https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
