Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),07:15,09:20,02h 05m,INR 429,29 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:40,10:00,02h 20m,INR 429,30 Seats available,"3.3
43",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line,Volvo A/C Seater (2+2),08:05,10:00,01h 55m,INR 429,25 Seats available,"3.9
35",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),08:50,11:50,03h 00m,INR 429,33 Seats available,"4.9
5",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),09:00,11:30,02h 30m,INR 429,30 Seats available,"3.5
26",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line (Karunamoyee),Volvo A/C Seater (2+2),09:40,12:30,02h 50m,INR 429,41 Seats available,"4.4
11",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),09:45,12:45,03h 00m,INR 429,32 Seats available,"3.8
24",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),10:40,13:30,02h 50m,INR 429,22 Seats available,"4.4
27",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),10:45,13:45,03h 00m,INR 429,23 Seats available,"3.8
22",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),11:00,14:00,03h 00m,INR 429,19 Seats available,"4.5
17",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line,Volvo A/C Seater (2+2),11:40,14:30,02h 50m,INR 429,36 Seats available,"4.9
15",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo B11R Multi Axle Seater (2+2),12:10,15:00,02h 50m,INR 429,23 Seats available,3.8,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline,Volvo A/C Seater (2+2),12:30,15:30,03h 00m,INR 429,14 Seats available,"3.9
5",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),13:00,15:50,02h 50m,INR 429,14 Seats available,"3.7
16",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),13:45,16:30,02h 45m,INR 429,29 Seats available,"4.5
60",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:15,08:15,02h 00m,INR 429,30 Seats available,"4.4
63",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),06:30,08:30,02h 00m,INR 429,41 Seats available,"4.8
45",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:00,09:15,02h 15m,INR 429,35 Seats available,"4.4
128",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),07:05,09:05,02h 00m,INR 429,47 Seats available,"4.3
61",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline,Volvo A/C Seater (2+2),07:40,10:10,02h 30m,INR 429,36 Seats available,"4.7
35",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),07:45,10:15,02h 30m,INR 429,34 Seats available,"4.5
69",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:15,10:30,02h 15m,INR 429,27 Seats available,"4.6
61",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Express Line (Karunamoyee),Volvo A/C Seater (2+2),08:15,10:30,02h 15m,INR 429,27 Seats available,"4.9
11",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),08:30,10:45,02h 15m,INR 429,27 Seats available,"4.5
110",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline,Volvo A/C Seater (2+2),08:45,11:15,02h 30m,INR 429,29 Seats available,"5.0
5",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),02:00,06:00,04h 00m,523,14 Seats available,"4.2
99",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),06:10,09:20,03h 10m,INR 486,27 Seats available,"4.3
99",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:40,10:00,03h 20m,INR 486,27 Seats available,"4.3
347",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Express Line,Volvo A/C Seater (2+2),06:50,10:00,03h 10m,INR 486,25 Seats available,"4.4
282",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),07:00,10:15,03h 15m,INR 486,11 Seats available,"4.0
107",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),07:00,10:15,03h 15m,INR 486,24 Seats available,"4.4
184",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:30,10:45,03h 15m,INR 486,12 Seats available,"3.9
261",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),07:50,11:50,04h 00m,INR 486,35 Seats available,"4.6
207",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:00,11:30,03h 30m,INR 486,29 Seats available,"4.2
72",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),08:10,11:00,02h 50m,INR 486,11 Seats available,"4.3
123",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Gogol City Service,AC Seater (2+3),13:30,16:15,02h 45m,143,33 Seats available,"4.2
269",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
KRISHNAKALI,A/C Seater (2+3),14:45,17:30,02h 45m,157,61 Seats available,"3.2
62",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Satadal Travels,A/C Seater (2+2),14:55,18:15,03h 20m,162,37 Seats available,"4.0
36",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Diamond City Service,A/C Executive (2+3),15:10,18:55,03h 45m,153,46 Seats available,"4.6
259",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Droupadi City Service,A/C Seater (2+3),15:20,18:10,02h 50m,INR 160,59 Seats available,"2.8
67",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Satadal Travels,A/C Seater (2+2),05:55,09:30,03h 35m,157,20 Seats available,"4.8
46",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
Diamond City Service,A/C Executive (2+3),06:30,10:15,03h 45m,149,31 Seats available,"4.3
323",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
Gogol City Service,AC Seater (2+3),07:00,09:45,02h 45m,143,35 Seats available,"4.3
350",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
KRISHNAKALI,A/C Seater (2+3),06:25,09:15,02h 50m,161,61 Seats available,"2.6
32",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
Droupadi City Service,A/C Seater (2+3),07:00,09:35,02h 35m,INR 160,60 Seats available,"2.7
42",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:15,09:30,03h 15m,INR 486,27 Seats available,"4.4
344",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),06:30,10:15,03h 45m,INR 486,41 Seats available,"4.8
86",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),06:30,09:45,03h 15m,INR 486,25 Seats available,"4.2
255",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:00,10:30,03h 30m,INR 486,34 Seats available,"4.5
336",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),07:05,10:20,03h 15m,INR 486,47 Seats available,"4.5
307",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline,Volvo A/C Seater (2+2),07:40,11:40,04h 00m,INR 486,36 Seats available,"4.5
161",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),07:45,11:45,04h 00m,INR 486,33 Seats available,"4.7
274",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line (Karunamoyee),Volvo A/C Seater (2+2),08:15,12:15,04h 00m,INR 486,27 Seats available,"4.8
49",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:15,12:15,04h 00m,INR 486,27 Seats available,"4.5
190",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),08:30,12:30,04h 00m,INR 486,25 Seats available,"4.5
276",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
WBTC (CTC) KOLKATA - JOYRAMBATI - BISHNUPUR - 123|06:00,Non AC Seater (2+3),06:00,09:00,03h 00m,INR 69,37 Seats available,3.8,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal)
